date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,r4_pred,category,champion_p_away,champion_p_draw,champion_p_home,r4_p_away,r4_p_draw,r4_p_home
2023-01-07,Bahrain,United Arab Emirates,2,1,Gulf Cup,Basra,Iraq,True,0,0,0,2,B_Regression_R4_Wrong,0.36934997824698906,0.31175046723853583,0.318899554514475,0.30304896246555785,0.3123608282722974,0.38459020926214466
2023-01-28,United States,Colombia,0,0,Friendly,Carson,United States,False,1,1,1,2,B_Regression_R4_Wrong,0.3025207150186762,0.3581080561144858,0.3393712288668379,0.30022884669275407,0.3127232881388717,0.38704786516837425
2023-03-23,Solomon Islands,Vanuatu,2,0,Friendly,Lautoka,Fiji,True,0,0,0,2,B_Regression_R4_Wrong,0.40083036666571126,0.23737265528044188,0.3617969780538468,0.3835680958727048,0.2011689384357109,0.4152629656915844
2023-03-24,Australia,Ecuador,3,1,Friendly,Sydney,Australia,False,0,0,0,1,B_Regression_R4_Wrong,0.3748789428557421,0.3474307405318332,0.2776903166124248,0.31575939850311985,0.36119111440733764,0.3230494870895425
2023-03-24,Japan,Uruguay,1,1,Friendly,Tokyo,Japan,False,1,1,1,2,B_Regression_R4_Wrong,0.33250200313516953,0.36199084401784953,0.305507152846981,0.2841114020277488,0.34021564378174,0.3756729541905111
2023-03-24,Uzbekistan,Bolivia,1,0,Friendly,Jeddah,Saudi Arabia,True,0,0,0,2,B_Regression_R4_Wrong,0.5012249818978264,0.2151839165049081,0.2835911015972654,0.3538455150393602,0.2506577158294006,0.3954967691312392
2023-03-25,Bhutan,Laos,1,2,Tri Nation Tournament,Kathmandu,Nepal,True,2,2,2,0,B_Regression_R4_Wrong,0.24895438611495657,0.2192147794091173,0.531830834475926,0.37924671789525244,0.25070011018979915,0.3700531719149484
2023-03-27,South Sudan,Congo,0,1,African Cup of Nations qualification,Dar es Salaam,Tanzania,True,2,2,2,0,B_Regression_R4_Wrong,0.33351970106843143,0.2734455802157723,0.3930347187157963,0.3684153345139223,0.2830908578155999,0.34849380767047783
2023-06-19,Hong Kong,Thailand,0,1,Friendly,Hong Kong,Hong Kong,False,2,2,2,0,B_Regression_R4_Wrong,0.32577918153847224,0.31519239878279526,0.35902841967873256,0.36444744401501034,0.3057068689427526,0.32984568704223705
2023-06-20,Sudan,Mauritania,0,3,African Cup of Nations qualification,Agadir,Morocco,True,2,2,2,0,B_Regression_R4_Wrong,0.3018859462022917,0.2898731586356975,0.4082408951620109,0.3618721582559921,0.2927288901043237,0.34539895163968426
2023-06-25,Haiti,Qatar,2,1,Gold Cup,Houston,United States,True,0,0,0,2,B_Regression_R4_Wrong,0.3674175684400345,0.27024970149130784,0.36233273006865774,0.3178195015607516,0.2834671890194323,0.39871330941981603
2023-07-01,Cuba,Guadeloupe,1,4,Gold Cup,Houston,United States,True,2,2,2,0,B_Regression_R4_Wrong,0.3629482777175975,0.266255720277639,0.3707960020047634,0.3987104878908758,0.27914748360924513,0.322142028499879
2023-09-10,Guatemala,Panama,1,1,CONCACAF Nations League,Guatemala City,Guatemala,False,1,1,1,2,B_Regression_R4_Wrong,0.3274611410753591,0.3486607965035121,0.32387806242112877,0.32004888484279825,0.33538110101661217,0.3445700141405896
2023-09-12,Qatar,Russia,1,1,Friendly,Al Wakrah,Qatar,False,1,1,1,2,B_Regression_R4_Wrong,0.2989343296057166,0.35286160174472053,0.3482040686495628,0.2908355768317132,0.3322943387068754,0.37687008446141146
2023-10-12,Colombia,Uruguay,2,2,FIFA World Cup qualification,Barranquilla,Colombia,False,1,1,1,0,B_Regression_R4_Wrong,0.42162828205169045,0.42546059777723744,0.15291112017107203,0.39797241121777055,0.37780510724251454,0.22422248153971497
2023-10-13,Trinidad and Tobago,Guatemala,3,2,CONCACAF Nations League,Port of Spain,Trinidad and Tobago,False,0,0,0,2,B_Regression_R4_Wrong,0.36787468722117395,0.3104433639887064,0.3216819487901196,0.3106125634397444,0.33316182339597256,0.35622561316428303
2023-10-14,Liberia,Libya,2,3,Friendly,Khouribga,Morocco,True,2,2,2,0,B_Regression_R4_Wrong,0.32059003347660586,0.2732807731921251,0.40612919333126907,0.4373320939266945,0.2928681258091268,0.2697997802641787
2023-10-17,Ecuador,Colombia,0,0,FIFA World Cup qualification,Quito,Ecuador,False,1,1,1,0,B_Regression_R4_Wrong,0.32870191970078344,0.3651717000456345,0.3061263802535822,0.34871826909009074,0.3080123131649205,0.3432694177449888
2023-11-17,Eswatini,Libya,0,1,FIFA World Cup qualification,Mbombela,South Africa,True,2,2,2,0,B_Regression_R4_Wrong,0.3022827962422033,0.28388976918585995,0.4138274345719368,0.3528076105692043,0.31323648738361043,0.33395590204718534
2023-11-18,Niger,Tanzania,0,1,FIFA World Cup qualification,Marrakesh,Morocco,True,2,2,2,0,B_Regression_R4_Wrong,0.3149264383812997,0.2771162484023268,0.4079573132163735,0.37411260616592584,0.2595938347064792,0.36629355912759487
2023-11-18,Antigua and Barbuda,Puerto Rico,2,3,CONCACAF Nations League,Piggotts,Antigua and Barbuda,False,2,2,2,0,B_Regression_R4_Wrong,0.393537871010974,0.20952895807431335,0.39693317091471253,0.44713176452345815,0.22762312611821417,0.3252451093583277
